Date,Open,High,Low,Close,Volume
06/27/2014,"12.35","12.55","12.35","12.45","22,856,801"
06/26/2014,"12.20","12.50","12.20","12.40","24,167,500"
06/25/2014,"12.60","12.70","12.00","12.55","17,582,801"
06/24/2014,"12.80","12.80","12.50","12.65","19,784,600"
06/23/2014,"12.80","12.85","12.75","12.80","8,832,500"
06/20/2014,"12.80","12.90","12.75","12.80","16,252,000"
06/19/2014,"12.80","12.85","12.55","12.80","8,809,600"
06/18/2014,"12.85","12.90","12.70","12.80","44,456,301"
06/17/2014,"12.80","12.90","12.80","12.85","14,527,700"
06/16/2014,"12.90","12.95","12.80","12.85","1,405,300"
06/13/2014,"12.95","13.00","12.85","12.90","4,039,300"
06/12/2014,"12.90","13.00","12.85","12.95","15,644,600"
06/11/2014,"12.80","13.05","12.80","12.90","10,997,000"
06/10/2014,"12.80","12.90","12.80","12.85","19,395,500"
06/09/2014,"12.80","12.95","12.80","12.85","16,148,100"
06/06/2014,"12.80","12.95","12.80","12.80","1,601,800"
06/05/2014,"12.95","12.95","12.80","12.80","31,256,100"
06/04/2014,"12.80","12.90","12.80","12.80","19,833,199"
06/03/2014,"12.95","12.95","12.70","12.80","44,054,801"
05/30/2014,"13.00","13.10","12.90","12.95","16,305,600"
05/29/2014,"12.95","13.05","12.90","13.00","29,625,500"
05/28/2014,"12.95","13.00","12.90","12.95","23,771,199"
05/27/2014,"13.00","13.05","12.95","13.00","17,520,801"
05/26/2014,"12.95","13.05","12.95","13.00","2,205,600"
05/23/2014,"12.85","13.05","12.75","12.95","2,740,100"
05/22/2014,"13.05","13.10","12.85","13.00","6,087,000"
05/21/2014,"13.00","13.20","13.00","13.05","55,250,102"
05/20/2014,"13.00","13.10","12.95","13.05","12,051,700"
05/19/2014,"13.00","13.10","12.90","13.00","3,512,300"
05/16/2014,"12.70","13.20","12.65","12.85","57,811,000"
05/15/2014,"12.65","12.70","12.50","12.60","21,422,100"
05/14/2014,"12.90","12.90","12.10","12.60","12,960,100"
05/13/2014,"13.00","13.10","12.75","12.85","11,946,100"
05/12/2014,"12.80","13.00","12.80","12.90","4,138,900"
05/09/2014,"12.90","13.05","12.75","12.85","36,351,500"
05/08/2014,"12.85","13.00","12.75","12.80","27,769,900"
05/07/2014,"12.80","13.00","12.75","12.90","17,359,801"
05/06/2014,"13.00","13.00","12.70","12.80","28,683,400"
05/05/2014,"13.05","13.10","12.85","13.00","13,778,900"
05/02/2014,"13.10","13.20","13.05","13.10","6,018,500"
04/30/2014,"13.10","13.20","13.10","13.10","69,200,000"
04/29/2014,"13.05","13.20","13.00","13.05","3,296,700"
04/28/2014,"13.05","13.10","13.00","13.05","4,088,800"
04/25/2014,"13.15","13.20","13.00","13.05","28,500,301"
04/24/2014,"13.00","13.30","13.00","13.20","8,281,500"
04/23/2014,"13.10","13.10","12.90","13.00","14,446,200"
04/22/2014,"13.20","13.30","13.10","13.20","11,643,500"
04/17/2014,"13.10","13.30","13.10","13.20","3,060,400"
04/16/2014,"13.15","13.40","13.10","13.20","11,279,300"
04/15/2014,"12.90","13.30","12.80","13.10","12,531,300"
04/14/2014,"12.75","13.00","12.70","12.85","22,422,500"
04/11/2014,"13.00","13.00","12.60","12.75","123,202,203"
04/10/2014,"12.40","13.00","12.40","12.75","7,223,000"
04/09/2014,"12.30","12.50","12.30","12.45","4,050,300"
04/08/2014,"12.40","12.45","12.30","12.35","13,670,300"
04/07/2014,"12.45","12.60","12.35","12.45","18,909,000"
04/04/2014,"12.40","12.50","12.35","12.40","2,400,000"
04/03/2014,"12.50","12.60","12.40","12.50","15,731,200"
04/02/2014,"12.40","12.50","12.35","12.40","3,466,800"
04/01/2014,"12.35","12.50","12.35","12.35","2,477,700"
03/31/2014,"12.35","12.40","12.30","12.35","12,780,900"
03/28/2014,"12.30","12.35","12.25","12.30","15,324,500"
03/27/2014,"12.30","12.40","12.10","12.35","3,502,000"
03/26/2014,"12.50","12.60","12.30","12.45","15,823,300"
03/25/2014,"12.30","12.60","12.15","12.35","3,438,300"
03/24/2014,"12.60","12.70","12.10","12.35","8,573,900"
03/21/2014,"12.45","12.65","12.40","12.60","28,834,000"
03/20/2014,"12.35","12.60","12.30","12.50","27,550,400"
03/19/2014,"12.20","12.50","12.20","12.30","3,057,400"
03/18/2014,"12.15","12.30","12.10","12.20","11,639,300"
03/17/2014,"12.05","12.30","12.00","12.10","6,354,500"
03/14/2014,"12.25","12.35","12.00","12.05","2,588,100"
03/13/2014,"12.00","12.60","12.00","12.35","12,734,700"
03/12/2014,"11.80","12.10","11.75","11.90","3,238,500"
03/11/2014,"11.75","11.90","11.75","11.80","5,713,100"
03/10/2014,"11.75","11.90","11.75","11.80","7,072,200"
03/07/2014,"11.70","11.85","11.70","11.75","11,849,400"
03/06/2014,"11.70","11.90","11.70","11.80","27,446,000"
03/05/2014,"11.70","11.80","11.65","11.70","16,394,100"
03/04/2014,"11.70","11.80","11.70","11.70","5,002,800"
03/03/2014,"11.75","11.75","11.65","11.70","2,948,800"
02/28/2014,"11.75","11.80","11.65","11.70","19,983,301"
02/27/2014,"11.70","11.80","11.55","11.65","5,137,800"
02/26/2014,"11.65","11.75","11.55","11.65","6,333,900"
02/25/2014,"11.40","11.75","11.40","11.55","10,625,600"
02/24/2014,"11.35","11.50","11.35","11.45","9,234,400"
02/21/2014,"11.40","11.50","11.35","11.40","11,717,000"
02/20/2014,"11.40","11.50","11.30","11.40","15,919,500"
02/19/2014,"11.60","11.60","11.35","11.40","10,003,200"
02/18/2014,"11.65","11.65","11.45","11.55","6,678,900"
02/17/2014,"11.80","11.85","11.50","11.65","9,360,200"
02/14/2014,"11.80","12.00","11.70","11.80","2,456,600"
02/13/2014,"11.80","11.80","11.65","11.70","15,770,600"
02/12/2014,"11.75","11.95","11.75","11.80","5,417,600"
02/11/2014,"11.85","11.85","11.70","11.80","14,579,100"
02/10/2014,"11.85","11.85","11.55","11.75","12,189,800"
02/07/2014,"11.95","12.00","11.75","11.85","8,470,400"
02/06/2014,"11.50","12.05","11.50","11.95","28,879,199"
02/05/2014,"11.30","11.85","11.30","11.45","2,274,400"
02/04/2014,"11.35","11.50","11.30","11.35","6,645,500"
02/03/2014,"11.00","11.40","11.00","11.20","15,522,400"
01/31/2014,"11.45","11.45","10.60","11.00","12,358,600"
01/30/2014,"11.80","11.80","11.40","11.50","16,648,600"
01/29/2014,"12.05","12.05","11.75","11.85","14,127,300"
01/28/2014,"12.30","12.40","12.00","12.05","10,102,900"
01/27/2014,"12.45","12.60","12.25","12.35","43,172,301"
01/24/2014,"12.20","12.80","12.20","12.45","16,036,000"
01/23/2014,"12.00","12.20","11.95","12.05","9,787,700"
01/22/2014,"11.75","12.10","11.75","12.00","10,583,500"
01/21/2014,"11.70","12.00","11.65","11.75","11,310,200"
01/20/2014,"11.50","11.80","11.40","11.70","7,604,500"
01/17/2014,"11.55","11.60","11.50","11.50","1,929,300"
01/16/2014,"11.70","11.75","11.40","11.50","9,563,700"
01/15/2014,"11.70","11.75","11.35","11.70","8,768,600"
01/14/2014,"11.70","11.75","11.45","11.65","5,696,200"
01/13/2014,"11.60","11.75","11.35","11.65","19,464,801"
01/10/2014,"11.80","11.95","11.45","11.75","33,430,102"
01/09/2014,"11.60","11.95","11.55","11.70","24,759,301"
01/08/2014,"11.10","11.65","11.10","11.35","6,687,700"
01/07/2014,"11.00","11.15","11.00","11.10","5,567,900"
01/06/2014,"10.90","11.15","10.80","11.05","9,518,700"
01/03/2014,"10.80","10.95","10.75","10.80","2,712,300"
01/02/2014,"10.90","10.90","10.60","10.75","3,505,300"
12/31/2013,"10.95","10.95","10.80","10.85","2,461,000"
12/30/2013,"10.75","11.00","10.60","10.85","11,065,200"
12/27/2013,"10.55","10.90","10.55","10.75","7,547,100"
12/24/2013,"10.40","11.00","10.40","10.85","2,988,400"
12/23/2013,"10.15","10.50","10.10","10.25","2,638,900"
12/20/2013,"10.00","10.15","10.00","10.05","8,710,700"
12/19/2013,"10.00","10.10","9.95","10.00","16,590,301"
12/18/2013,"9.90","10.00","9.85","9.95","15,350,300"
12/17/2013,"9.90","10.00","9.70","9.85","22,464,500"
12/16/2013,"9.90","10.10","9.60","10.00","15,646,100"
12/11/2013,"10.20","10.20","9.90","10.05","26,984,801"
12/10/2013,"10.25","10.35","10.10","10.20","23,965,301"
12/09/2013,"10.30","10.40","10.25","10.35","12,737,300"
12/06/2013,"10.40","10.50","10.20","10.35","16,082,000"
12/05/2013,"10.70","10.70","10.00","10.35","24,091,699"
12/04/2013,"10.75","10.85","10.55","10.75","12,502,700"
12/03/2013,"10.95","11.00","10.75","10.80","9,111,800"
12/02/2013,"10.70","11.00","10.55","10.85","2,933,000"
11/29/2013,"10.90","10.95","10.60","10.80","2,616,000"
11/28/2013,"11.05","11.10","10.90","11.00","9,098,700"
11/27/2013,"11.00","11.20","10.95","11.00","9,019,600"
11/26/2013,"11.00","11.10","10.95","11.00","53,177,602"
11/25/2013,"10.80","11.05","10.80","10.95","13,825,900"
11/22/2013,"10.60","10.90","10.60","10.75","33,610,801"
11/21/2013,"10.20","10.75","10.20","10.60","22,969,199"
11/20/2013,"10.00","10.30","9.95","10.05","6,695,300"
11/19/2013,"9.85","10.10","9.85","9.95","8,028,500"
11/18/2013,"9.85","10.00","9.85","9.90","6,523,800"
11/15/2013,"9.90","9.95","9.80","9.85","8,734,200"
11/14/2013,"9.80","9.95","9.80","9.85","16,212,800"
11/13/2013,"9.80","10.00","9.75","9.80","5,726,800"
11/12/2013,"9.85","9.90","9.75","9.80","9,921,600"
11/11/2013,"9.65","9.90","9.50","9.80","7,118,600"
11/08/2013,"9.85","9.95","9.60","9.75","13,603,000"
11/07/2013,"9.45","9.95","9.45","9.85","23,779,100"
11/06/2013,"9.70","10.20","9.45","9.70","42,027,500"
11/05/2013,"9.70","9.80","9.30","9.65","16,228,500"
11/04/2013,"9.80","9.90","9.50","9.70","15,069,100"
11/01/2013,"9.55","9.70","9.50","9.55","3,385,100"
10/31/2013,"9.25","9.70","9.25","9.45","15,883,600"
10/30/2013,"9.25","9.40","9.05","9.25","18,021,100"
10/28/2013,"9.00","9.10","8.95","9.00","2,188,200"
10/25/2013,"9.00","9.05","8.90","9.00","10,873,700"
10/24/2013,"9.00","9.10","8.80","9.05","36,331,699"
10/23/2013,"8.50","9.10","8.20","9.05","45,102,199"
10/22/2013,"8.95","9.15","8.85","8.95","3,797,400"
10/18/2013,"9.10","9.15","9.05","9.10","21,021,100"
10/17/2013,"9.10","9.20","9.05","9.10","4,018,200"
10/16/2013,"9.20","9.25","9.10","9.15","15,945,400"
10/15/2013,"9.15","9.20","9.10","9.15","25,164,801"
10/14/2013,"9.05","9.25","9.00","9.05","26,199,600"
10/11/2013,"9.05","9.10","8.95","9.00","62,118,500"
10/10/2013,"9.15","9.15","8.80","9.00","39,745,301"
10/09/2013,"9.10","9.40","9.10","9.10","25,058,600"
10/08/2013,"9.40","9.50","9.20","9.40","28,031,699"
10/07/2013,"9.10","9.25","8.90","9.10","28,539,600"
10/04/2013,"8.90","8.95","8.90","8.90","15,068,000"
10/03/2013,"8.90","9.00","8.70","8.90","16,366,000"
10/02/2013,"8.75","8.95","8.55","8.75","14,190,800"
10/01/2013,"8.70","8.75","8.50","8.70","1,819,900"
09/30/2013,"8.35","8.70","8.25","8.50","7,222,700"
09/27/2013,"8.35","8.40","8.25","8.35","7,266,800"
09/26/2013,"8.35","8.50","8.30","8.35","8,202,100"
09/25/2013,"8.40","8.45","8.30","8.40","29,896,699"
09/24/2013,"8.25","8.35","8.20","8.25","31,571,801"
09/23/2013,"8.35","8.50","8.20","8.35","9,325,300"
09/20/2013,"8.35","8.70","8.35","8.50","16,935,100"
09/19/2013,"8.20","8.45","8.20","8.35","6,292,800"
09/18/2013,"8.20","8.30","8.20","8.20","7,846,100"
09/17/2013,"8.10","8.25","8.10","8.15","21,742,500"
09/16/2013,"8.05","8.15","8.05","8.10","13,316,300"
09/13/2013,"7.95","8.10","7.80","8.00","13,662,100"
09/12/2013,"8.05","8.15","8.05","8.05","14,291,500"
09/11/2013,"8.10","8.15","8.05","8.05","15,396,700"
09/10/2013,"8.10","8.15","8.05","8.10","7,021,400"
09/09/2013,"7.85","8.25","7.80","8.05","11,180,800"
09/06/2013,"7.75","7.90","7.75","7.85","36,501,602"
09/05/2013,"7.75","7.90","7.75","7.85","4,949,900"
09/04/2013,"7.75","7.85","7.70","7.80","12,535,100"
09/03/2013,"7.70","7.85","7.70","7.75","2,801,000"
09/02/2013,"7.70","7.80","7.60","7.65","1,303,400"
08/30/2013,"7.70","7.80","7.60","7.70","14,218,600"
08/29/2013,"7.45","7.80","7.45","7.65","113,855,508"
08/28/2013,"7.75","7.75","7.45","7.50","28,182,000"
08/27/2013,"7.90","7.95","7.65","7.75","9,072,900"
08/26/2013,"7.95","8.00","7.90","7.90","17,776,900"
08/23/2013,"7.90","7.95","7.85","7.90","3,248,800"
08/22/2013,"8.00","8.05","7.85","7.95","5,167,200"
08/21/2013,"8.05","8.20","8.00","8.05","11,974,700"
08/20/2013,"8.15","8.25","8.15","8.20","9,694,100"
08/19/2013,"8.05","8.25","8.00","8.15","22,200,600"
08/16/2013,"7.90","8.15","7.90","8.05","23,901,900"
08/15/2013,"7.70","8.00","7.70","7.90","16,757,699"
08/14/2013,"7.65","7.85","7.65","7.75","21,897,500"
08/13/2013,"7.65","7.75","7.65","7.65","3,467,600"
08/12/2013,"7.70","8.00","7.50","7.85","9,460,300"
08/08/2013,"7.40","8.00","7.40","7.70","13,817,300"
08/07/2013,"7.30","7.50","7.30","7.40","4,234,600"
08/06/2013,"7.30","7.35","7.30","7.30","1,813,700"
08/05/2013,"7.25","7.35","7.10","7.30","11,565,200"
08/02/2013,"7.30","7.35","7.25","7.25","9,789,000"
08/01/2013,"7.20","7.30","7.20","7.25","8,039,200"
07/31/2013,"7.30","7.35","7.20","7.30","13,754,500"
07/30/2013,"7.15","7.35","7.15","7.25","12,127,500"
07/29/2013,"7.15","7.30","7.15","7.15","10,206,100"
07/26/2013,"7.05","7.30","7.05","7.15","1,336,400"
07/25/2013,"7.05","7.20","7.05","7.05","12,045,400"
07/24/2013,"7.00","7.20","7.00","7.05","5,058,800"
07/23/2013,"7.10","7.10","7.00","7.00","21,684,301"
07/22/2013,"7.25","7.30","7.00","7.10","6,956,800"
07/19/2013,"7.35","7.35","7.20","7.25","4,642,900"
07/18/2013,"7.30","7.45","7.20","7.30","15,681,700"
07/17/2013,"7.55","7.55","7.20","7.35","38,638,898"
07/16/2013,"7.30","7.50","7.30","7.40","7,010,600"
07/15/2013,"7.10","7.50","7.10","7.30","13,519,500"
07/12/2013,"6.90","7.15","6.90","7.05","37,894,500"
07/11/2013,"6.75","7.00","6.75","6.90","1,566,900"
07/10/2013,"6.70","6.85","6.65","6.75","20,353,400"
07/09/2013,"6.70","6.75","6.60","6.70","7,487,100"
07/08/2013,"6.75","6.80","6.55","6.75","33,748,602"
07/05/2013,"6.45","6.85","6.45","6.75","14,025,200"
07/04/2013,"6.40","6.60","6.30","6.45","7,167,600"
07/03/2013,"6.40","6.50","6.25","6.35","23,658,600"
07/02/2013,"6.40","6.50","6.15","6.40","26,428,699"
07/01/2013,"6.50","6.60","6.35","6.45","8,276,300"
06/28/2013,"6.50","6.65","6.45","6.55","3,531,900"
