Date,Open,High,Low,Close,Volume
06/28/2013,"6.50","6.65","6.45","6.55","3,531,900"
06/27/2013,"6.60","6.65","6.45","6.50","28,678,600"
06/26/2013,"6.65","6.75","6.60","6.65","3,010,800"
06/25/2013,"6.70","6.80","6.65","6.75","16,332,200"
06/24/2013,"6.75","6.75","6.65","6.70","2,140,500"
06/21/2013,"6.85","6.85","6.70","6.75","19,157,801"
06/20/2013,"6.95","6.95","6.70","6.90","55,244,500"
06/19/2013,"6.90","7.00","6.90","6.95","58,646,199"
06/18/2013,"6.80","7.00","6.80","6.90","2,245,300"
06/17/2013,"7.00","7.00","6.50","6.70","24,969,900"
06/14/2013,"7.20","7.20","6.60","7.00","12,910,000"
06/13/2013,"7.35","7.40","7.20","7.30","26,270,100"
06/12/2013,"7.35","7.45","7.30","7.35","7,464,100"
06/11/2013,"7.25","7.45","7.25","7.35","16,513,600"
06/10/2013,"7.20","7.35","7.20","7.25","5,526,600"
06/07/2013,"7.20","7.25","7.20","7.20","4,136,800"
06/06/2013,"7.10","7.25","7.10","7.15","8,186,500"
06/05/2013,"7.05","7.20","7.05","7.10","72,389,508"
06/04/2013,"7.20","7.20","7.05","7.10","70,200,094"
06/03/2013,"7.20","7.25","7.15","7.20","34,153,301"
05/31/2013,"7.25","7.30","7.20","7.25","33,111,602"
05/30/2013,"7.15","7.30","7.15","7.25","17,700,000"
05/29/2013,"7.05","7.25","7.05","7.15","9,113,400"
05/28/2013,"7.00","7.15","7.00","7.05","5,789,000"
05/27/2013,"7.00","7.05","6.65","7.00","4,150,600"
05/24/2013,"7.00","7.10","6.90","7.00","5,192,600"
05/23/2013,"7.10","7.10","7.00","7.05","10,233,900"
05/22/2013,"7.10","7.20","7.05","7.15","23,904,801"
05/21/2013,"7.00","7.20","7.00","7.10","14,333,600"
05/20/2013,"7.10","7.15","7.00","7.00","1,833,500"
05/17/2013,"7.25","7.25","7.10","7.15","6,265,100"
05/16/2013,"7.30","7.30","7.20","7.25","8,847,200"
05/15/2013,"7.20","7.55","7.15","7.35","60,050,801"
05/14/2013,"6.95","7.20","6.95","7.10","10,310,100"
05/13/2013,"6.85","7.00","6.80","6.90","4,881,400"
05/10/2013,"7.10","7.15","6.80","6.95","2,125,900"
05/09/2013,"7.25","7.25","7.10","7.20","30,263,100"
05/08/2013,"7.15","7.40","7.15","7.20","29,998,500"
05/07/2013,"7.10","7.20","7.10","7.15","21,732,600"
05/06/2013,"7.05","7.15","7.05","7.10","32,800,898"
05/03/2013,"7.00","7.20","7.00","7.05","30,743,900"
05/02/2013,"6.90","7.10","6.85","7.00","22,634,500"
04/30/2013,"6.80","6.95","6.70","6.85","11,280,000"
04/29/2013,"6.65","6.75","6.65","6.70","4,580,400"
04/26/2013,"6.60","6.70","6.60","6.65","8,185,200"
04/25/2013,"6.65","6.70","6.60","6.60","6,617,000"
04/24/2013,"6.65","6.70","6.60","6.60","14,366,000"
04/23/2013,"6.60","6.70","6.60","6.60","13,175,600"
04/22/2013,"6.60","6.65","6.55","6.60","15,178,100"
04/19/2013,"6.55","6.65","6.55","6.60","15,999,800"
04/18/2013,"6.55","6.65","6.55","6.55","34,860,500"
04/17/2013,"6.45","6.60","6.45","6.45","35,563,102"
04/16/2013,"6.35","6.50","6.30","6.40","13,530,200"
04/15/2013,"6.50","6.50","6.35","6.40","5,659,000"
04/12/2013,"6.55","6.55","6.30","6.50","11,991,200"
04/11/2013,"6.50","6.60","6.50","6.55","9,590,300"
04/10/2013,"6.40","6.60","6.35","6.45","30,856,699"
04/08/2013,"6.30","6.40","6.30","6.35","2,149,600"
04/05/2013,"6.25","6.40","6.25","6.30","8,918,200"
04/04/2013,"6.20","6.40","6.15","6.30","11,263,400"
04/03/2013,"6.05","6.25","6.05","6.15","2,484,300"
04/02/2013,"6.25","6.50","6.00","6.00","54,838,602"
03/28/2013,"5.95","6.20","5.95","6.00","6,930,800"
03/27/2013,"5.90","6.00","5.80","5.95","9,062,600"
03/26/2013,"5.80","5.85","5.60","5.80","1,713,500"
