Date,Open,High,Low,Close,Volume
06/27/2008,"7.25","7.25","7.25","7.25","77,775,508"
06/26/2008,"7.55","7.25","7.25","7.25","56,217,000"
06/25/2008,"7.70","7.55","7.55","7.55","68,547,281"
06/24/2008,"7.80","7.70","7.70","7.70","56,937,398"
06/23/2008,"7.80","7.80","7.80","7.80","100,392,305"
06/20/2008,"7.85","7.80","7.80","7.80","61,271,820"
06/19/2008,"7.80","7.85","7.85","7.85","58,891,820"
06/18/2008,"7.80","7.80","7.80","7.80","112,660,602"
06/17/2008,"7.90","7.80","7.80","7.80","121,487,000"
06/16/2008,"7.45","7.90","7.90","7.90","103,792,703"
06/13/2008,"7.35","7.45","7.45","7.45","250,901,500"
06/12/2008,"7.35","7.35","7.35","7.35","131,243,703"
06/11/2008,"7.00","7.00","7.00","7.00","183,494,797"
06/10/2008,"6.95","6.95","6.95","6.95","127,305,797"
06/09/2008,"7.35","7.35","7.35","7.35","416,383,094"
