Date,Open,High,Low,Close,Volume
06/28/2010,"5.80","5.75","5.75","5.75","5,875,900"
06/25/2010,"5.80","5.80","5.80","5.80","9,269,500"
06/24/2010,"5.75","5.80","5.80","5.80","13,677,200"
06/23/2010,"5.75","5.75","5.75","5.75","10,901,600"
06/22/2010,"5.70","5.75","5.75","5.75","7,989,100"
06/21/2010,"5.75","5.70","5.70","5.70","3,538,500"
06/18/2010,"5.80","5.75","5.75","5.75","6,569,300"
06/17/2010,"5.75","5.80","5.80","5.80","8,088,100"
06/16/2010,"5.60","5.75","5.75","5.75","11,860,800"
06/15/2010,"5.55","5.60","5.60","5.60","7,988,400"
06/14/2010,"5.55","5.55","5.55","5.55","3,735,000"
06/11/2010,"5.50","5.55","5.55","5.55","5,214,500"
06/10/2010,"5.50","5.50","5.50","5.50","9,288,100"
06/09/2010,"5.55","5.50","5.50","5.50","4,291,500"
06/08/2010,"5.55","5.55","5.55","5.55","17,997,900"
06/07/2010,"5.60","5.55","5.55","5.55","3,669,100"
06/04/2010,"5.55","5.60","5.60","5.60","5,847,300"
06/03/2010,"5.55","5.55","5.55","5.55","4,525,600"
06/02/2010,"5.55","5.55","5.55","5.55","9,675,700"
05/31/2010,"5.50","5.55","5.55","5.55","2,068,100"
05/28/2010,"5.30","5.50","5.50","5.50","10,858,900"
05/27/2010,"5.40","5.30","5.30","5.30","83,670,898"
05/26/2010,"5.40","5.40","5.40","5.40","150,964,703"
05/25/2010,"5.55","5.40","5.40","5.40","36,565,398"
05/24/2010,"5.55","5.55","5.55","5.55","18,545,900"
05/21/2010,"5.55","5.55","5.55","5.55","29,757,600"
05/20/2010,"5.60","5.55","5.55","5.55","15,530,100"
05/19/2010,"5.55","5.60","5.60","5.60","27,303,600"
05/18/2010,"5.60","5.55","5.55","5.55","6,953,000"
05/17/2010,"5.70","5.60","5.60","5.60","47,206,500"
05/14/2010,"5.65","5.70","5.70","5.70","72,928,492"
05/13/2010,"5.65","5.65","5.65","5.65","75,204,094"
05/12/2010,"5.65","5.65","5.65","5.65","11,655,600"
05/11/2010,"5.75","5.65","5.65","5.65","4,998,600"
05/10/2010,"5.90","5.75","5.75","5.75","8,515,600"
05/07/2010,"6.00","5.90","5.90","5.90","41,050,199"
05/06/2010,"5.95","6.00","6.00","6.00","42,927,801"
05/05/2010,"5.80","5.95","5.95","5.95","35,654,898"
05/04/2010,"5.80","5.80","5.80","5.80","9,472,400"
05/03/2010,"5.80","5.80","5.80","5.80","6,674,900"
04/30/2010,"5.80","5.80","5.80","5.80","4,285,500"
04/29/2010,"5.80","5.80","5.80","5.80","4,454,300"
04/28/2010,"5.80","5.80","5.80","5.80","7,231,300"
04/27/2010,"5.80","5.80","5.80","5.80","11,586,800"
04/26/2010,"5.80","5.80","5.80","5.80","9,338,200"
04/23/2010,"5.80","5.80","5.80","5.80","4,531,000"
04/22/2010,"5.80","5.80","5.80","5.80","5,606,200"
04/21/2010,"5.75","5.80","5.80","5.80","5,878,400"
04/20/2010,"5.65","5.75","5.75","5.75","5,971,600"
04/19/2010,"5.80","5.65","5.65","5.65","10,258,900"
04/16/2010,"5.85","5.80","5.80","5.80","19,698,900"
04/15/2010,"5.75","5.85","5.85","5.85","9,700,300"
04/14/2010,"5.60","5.75","5.75","5.75","14,060,400"
04/13/2010,"5.60","5.60","5.60","5.60","15,660,500"
04/12/2010,"5.55","5.60","5.60","5.60","12,289,500"
04/09/2010,"5.50","5.55","5.55","5.55","6,405,700"
04/08/2010,"5.55","5.50","5.50","5.50","6,085,900"
04/07/2010,"5.55","5.55","5.55","5.55","11,342,000"
04/06/2010,"5.50","5.55","5.55","5.55","14,056,700"
04/01/2010,"5.55","5.50","5.50","5.50","6,981,000"
03/31/2010,"5.50","5.55","5.55","5.55","52,668,602"
03/30/2010,"5.50","5.50","5.50","5.50","8,291,700"
03/29/2010,"5.50","5.50","5.50","5.50","13,937,300"
