Date,Open,High,Low,Close,Volume
06/28/2012,"3.45","3.45","3.35","3.40","3,041,100"
06/27/2012,"3.50","3.50","3.40","3.45","14,947,900"
06/26/2012,"3.50","3.55","3.45","3.50","14,212,600"
06/25/2012,"3.50","3.55","3.50","3.50","4,822,100"
06/22/2012,"3.50","3.55","3.50","3.50","6,430,300"
06/21/2012,"3.50","3.55","3.50","3.50","3,428,500"
06/20/2012,"3.45","3.55","3.45","3.50","6,221,700"
06/19/2012,"3.50","3.50","3.40","3.45","17,700,500"
06/18/2012,"3.40","3.45","3.40","3.45","1,822,800"
06/15/2012,"3.40","3.50","3.40","3.40","7,573,500"
06/14/2012,"3.45","3.45","3.35","3.40","31,814,900"
06/13/2012,"3.40","3.45","3.35","3.40","7,292,800"
06/12/2012,"3.40","3.50","3.40","3.45","6,086,900"
06/11/2012,"3.40","3.45","3.35","3.40","3,244,100"
06/08/2012,"3.35","3.50","3.30","3.40","9,318,600"
06/07/2012,"3.40","3.45","3.30","3.35","3,899,600"
06/06/2012,"3.30","3.45","3.30","3.35","8,461,900"
06/05/2012,"3.25","3.40","3.25","3.35","2,960,000"
06/04/2012,"3.25","3.35","3.25","3.25","12,825,400"
05/31/2012,"3.30","3.30","3.20","3.25","63,018,801"
05/30/2012,"3.25","3.35","3.25","3.25","11,463,500"
05/29/2012,"3.25","3.30","3.25","3.25","2,879,700"
05/28/2012,"3.25","3.30","3.20","3.25","927,000"
05/25/2012,"3.20","3.30","3.20","3.25","41,665,602"
05/24/2012,"3.40","3.40","3.20","3.35","1,207,100"
05/23/2012,"3.50","3.50","3.30","3.40","13,434,900"
05/22/2012,"3.50","3.55","3.45","3.50","10,211,500"
05/21/2012,"3.55","3.65","3.50","3.50","6,431,900"
05/18/2012,"3.50","3.60","3.50","3.50","1,505,000"
05/17/2012,"3.50","3.60","3.50","3.50","1,120,700"
05/16/2012,"3.50","3.60","3.45","3.50","12,223,300"
05/15/2012,"3.50","3.60","3.40","3.45","13,314,300"
05/14/2012,"3.40","3.55","3.40","3.45","1,325,000"
05/11/2012,"3.40","3.50","3.35","3.40","4,042,400"
05/10/2012,"3.40","3.50","3.35","3.45","14,064,500"
05/09/2012,"3.30","3.45","3.30","3.35","5,503,800"
05/08/2012,"3.45","3.50","3.15","3.35","2,017,900"
05/07/2012,"3.50","3.50","3.45","3.50","11,019,000"
05/04/2012,"3.35","3.50","3.30","3.45","11,543,400"
05/03/2012,"3.40","3.45","3.35","3.40","24,196,801"
05/02/2012,"3.35","3.40","3.30","3.35","2,249,500"
04/30/2012,"3.40","3.40","3.30","3.30","1,109,500"
04/27/2012,"3.40","3.40","3.15","3.30","3,602,800"
04/26/2012,"3.30","3.40","3.25","3.30","8,834,700"
04/25/2012,"3.40","3.50","3.30","3.40","12,331,400"
04/24/2012,"3.30","3.40","3.30","3.35","6,760,400"
04/23/2012,"3.35","3.45","3.20","3.30","19,070,100"
04/20/2012,"3.30","3.40","3.20","3.30","5,120,000"
04/19/2012,"3.25","3.40","3.25","3.30","5,912,200"
04/18/2012,"3.20","3.40","3.20","3.25","34,224,199"
04/17/2012,"3.15","3.25","3.10","3.20","9,214,400"
04/16/2012,"3.20","3.25","3.10","3.20","3,256,800"
04/13/2012,"3.10","3.25","3.15","3.15","14,346,300"
04/12/2012,"3.15","3.20","3.10","3.10","748,100"
04/11/2012,"3.15","3.20","3.05","3.15","1,682,300"
04/10/2012,"3.20","3.25","3.15","3.15","60,823,500"
04/05/2012,"3.20","3.30","3.20","3.20","2,655,400"
04/04/2012,"3.15","3.30","3.20","3.20","33,397,301"
04/03/2012,"3.15","3.20","3.15","3.15","2,498,900"
04/02/2012,"3.20","3.20","3.05","3.15","12,749,900"
03/30/2012,"3.20","3.25","3.20","3.20","28,312,400"
03/29/2012,"3.20","3.25","3.20","3.20","1,052,300"
03/28/2012,"3.25","3.25","3.20","3.20","9,168,400"
03/27/2012,"3.20","3.30","3.20","3.25","5,467,800"
03/26/2012,"3.20","3.25","3.15","3.20","2,718,800"
03/23/2012,"3.15","3.30","3.15","3.20","6,022,400"
03/22/2012,"3.10","3.30","3.10","3.15","10,201,500"
03/21/2012,"3.10","3.20","3.10","3.10","801,000"
03/20/2012,"3.10","3.15","3.10","3.10","517,200"
03/19/2012,"3.10","3.20","3.10","3.10","548,600"
03/16/2012,"3.10","3.15","3.10","3.10","3,870,600"
03/15/2012,"3.10","3.15","3.10","3.10","1,172,400"
03/14/2012,"3.10","3.15","3.10","3.10","11,588,100"
03/13/2012,"3.15","3.20","3.10","3.10","2,007,900"
03/12/2012,"3.15","3.25","3.10","3.15","3,021,400"
03/09/2012,"3.25","3.25","3.10","3.15","326,900"
03/08/2012,"3.35","3.35","3.10","3.25","3,407,900"
03/07/2012,"3.30","3.40","3.25","3.35","8,586,100"
03/06/2012,"3.20","3.45","3.20","3.30","860,800"
03/05/2012,"3.05","3.35","3.10","3.20","4,329,400"
03/02/2012,"3.10","3.15","3.00","3.05","875,600"
03/01/2012,"3.05","3.15","3.10","3.10","4,173,300"
02/29/2012,"3.05","3.15","3.00","3.05","5,238,600"
02/28/2012,"3.00","3.15","3.00","3.05","774,000"
02/27/2012,"3.10","3.10","2.95","3.00","4,705,400"
02/24/2012,"3.15","3.20","3.05","3.10","401,700"
02/23/2012,"3.15","3.20","3.15","3.15","5,708,200"
02/22/2012,"3.20","3.25","3.15","3.15","9,818,800"
02/21/2012,"3.25","3.30","3.15","3.20","439,200"
02/20/2012,"3.30","3.30","3.20","3.25","2,971,400"
02/17/2012,"3.30","3.35","3.25","3.30","7,234,900"
02/16/2012,"3.30","3.40","3.30","3.30","20,916,000"
