Date,Open,High,Low,Close,Volume
06/28/2018,29.75,30,29.25,29.75,22.49M
06/29/2018,29.75,30,29.25,29.5,10.56M
07/02/2018,29.5,29.75,28.75,29,9.57M
07/03/2018,28.75,28.75,27.75,28,3.75M
07/04/2018,29,29.25,28,28.5,2.89M
07/05/2018,28.5,29.25,28.5,29,5.41M
07/06/2018,28.75,29.25,28.75,28.75,2.04M
07/09/2018,29,29.25,28.75,29,2.00M
07/10/2018,29,29.25,29,29,5.69M
07/11/2018,29,29,28.25,28.5,5.13M
07/12/2018,28.5,29,28.5,28.5,3.34M
07/13/2018,28.75,28.75,28.25,28.25,4.69M
07/16/2018,28.75,28.75,28,28.25,10.49M
07/17/2018,28.25,29.25,28.25,28.75,3.96M
07/18/2018,29.25,29.75,29,29,2.22M
07/19/2018,29.75,29.75,28.75,29.25,10.04M
07/20/2018,29.25,29.25,28.25,28.5,3.54M
07/23/2018,28.5,29,28.25,28.5,656.50K
07/24/2018,28.5,29,28.5,28.5,748.10K
07/25/2018,28.75,29,28.5,28.75,5.93M
07/26/2018,29,29,28.5,28.5,4.90M
07/27/2018,28.5,29,28.5,28.5,3.33M
07/30/2018,28.75,28.75,28.25,28.5,11.46M
07/31/2018,28.5,28.5,27.75,28,2.68M
08/01/2018,28.25,28.5,27.75,27.75,4.55M
08/02/2018,28,28.5,28,28,18.66M
08/03/2018,28,28.25,28,28,5.93M
08/06/2018,28.25,28.25,28,28,1.40M
08/07/2018,28,28.25,28,28,5.17M
08/08/2018,28.25,29.5,28.25,28.75,6.59M
08/09/2018,29,29.25,28.25,28.75,3.04M
08/10/2018,29,29,28.25,28.25,4.95M
08/13/2018,28.5,29,28.5,28.5,2.02M
08/14/2018,28.5,29,28.5,28.75,7.53M
08/15/2018,28.75,29.25,28.75,29,8.72M
08/16/2018,29,29,28.75,28.75,6.70M
08/17/2018,28.75,29.5,28.75,29,961.20K
08/20/2018,29,29.5,29,29,7.50M
08/22/2018,29,29.5,29,29,6.42M
08/23/2018,29,29.25,29,29,3.05M
08/24/2018,29,29.25,29,29,2.50M
08/27/2018,29,29.5,29,29,1.65M
08/28/2018,29.25,30.5,29,29.75,4.93M
08/29/2018,29.75,30.25,29.75,29.75,1.96M
08/30/2018,30,30,29.5,29.5,2.73M
08/31/2018,29.75,29.75,28,28.25,9.08M
09/03/2018,28,28,27,27.75,1.73M
09/04/2018,27.75,29,27.75,28.25,5.22M
09/05/2018,28.5,28.5,27.5,27.75,5.44M
09/06/2018,28.25,28.25,27.5,27.75,4.17M
09/07/2018,28,28,27.25,27.5,6.80M
09/10/2018,27.75,27.75,27.25,27.25,773.10K
09/11/2018,27.25,27.75,27,27,2.36M
09/12/2018,27,27.25,26.75,27,6.19M
09/13/2018,27,27.25,25.75,26.25,12.51M
09/14/2018,26.25,26.75,26.25,26.5,9.14M
09/17/2018,26.5,26.75,26.25,26.5,5.17M
09/18/2018,26.5,27.25,26.5,26.75,7.27M
09/19/2018,27,27.25,25.75,26.5,9.36M
09/20/2018,25.5,25.75,24.5,24.75,9.36M
09/21/2018,25,25.25,23.75,24,19.41M
09/24/2018,24.5,26,24.5,25,23.27M
09/25/2018,25,25.25,24.75,24.75,7.50M
09/26/2018,25,25,24.5,24.75,2.70M
09/27/2018,24.75,25,24.5,24.75,14.90M
09/28/2018,25,25,24,24.5,5.98M
10/01/2018,24.5,25,24,24,2.90M
10/02/2018,24,24.75,24,24.25,13.93M
10/03/2018,24.5,24.5,24.25,24.25,5.16M
10/04/2018,24.25,24.75,24.25,24.5,21.58M
10/05/2018,24.5,25,24.5,24.75,12.41M
10/08/2018,24.75,25,24.5,24.5,4.29M
10/09/2018,24.75,25,24.25,24.5,3.53M
10/11/2018,25,25,23.5,24,7.96M
10/12/2018,24,24,22.75,23,7.61M
10/15/2018,23,23.5,21.75,22.25,8.48M
10/16/2018,23,24,22.5,23.5,13.37M
10/17/2018,23.75,24.25,23.75,23.75,4.37M
10/18/2018,23.75,24.25,23,23.5,12.33M
10/19/2018,23.5,23.75,23,23.75,14.03M
10/22/2018,23.75,24.5,23.5,23.75,6.41M
