Date,Open,High,Low,Close,Volume
06/26/2015,"16.10","16.20","16.05","16.10","3,697,900"
06/25/2015,"16.05","16.20","16.00","16.10","21,433,000"
06/24/2015,"16.05","16.20","16.05","16.05","4,048,200"
06/23/2015,"16.00","16.10","15.90","16.00","11,199,000"
06/22/2015,"16.10","16.70","15.90","16.35","10,919,200"
06/19/2015,"16.10","16.10","16.05","16.05","11,686,700"
06/18/2015,"16.05","16.10","16.00","16.05","24,400,400"
06/17/2015,"16.20","16.20","16.00","16.05","1,957,000"
06/16/2015,"16.10","16.25","16.00","16.10","11,030,900"
06/15/2015,"16.05","16.15","16.05","16.10","6,983,200"
06/12/2015,"16.05","16.25","16.05","16.05","3,420,100"
06/11/2015,"16.00","16.05","16.00","16.05","14,351,700"
06/10/2015,"16.05","16.10","16.00","16.05","7,374,200"
06/09/2015,"16.30","16.30","16.00","16.05","21,378,500"
06/08/2015,"16.35","16.35","15.90","16.10","11,190,800"
06/05/2015,"16.30","16.65","16.10","16.35","5,050,200"
06/04/2015,"16.45","16.70","16.00","16.45","11,518,000"
06/03/2015,"16.50","16.70","16.05","16.40","17,786,801"
06/02/2015,"15.85","16.90","15.85","16.50","2,441,700"
05/29/2015,"15.60","16.80","15.60","15.85","34,340,000"
05/28/2015,"15.20","15.70","15.20","15.55","12,815,300"
05/27/2015,"15.50","15.60","15.00","15.20","64,507,500"
05/25/2015,"16.30","16.30","15.95","16.00","11,043,300"
05/22/2015,"16.30","16.30","16.10","16.20","11,532,600"
05/21/2015,"16.45","16.55","16.25","16.30","8,668,100"
05/20/2015,"16.60","16.70","16.35","16.45","10,062,000"
05/19/2015,"16.50","16.75","16.50","16.60","10,562,300"
05/18/2015,"16.40","16.70","16.35","16.50","7,844,400"
05/15/2015,"16.20","16.50","16.20","16.35","9,936,700"
05/14/2015,"16.30","16.45","16.20","16.35","4,220,100"
05/13/2015,"16.50","16.50","15.85","16.10","22,160,900"
05/12/2015,"16.90","16.90","16.25","16.65","17,864,000"
05/11/2015,"17.05","17.15","16.75","16.90","10,926,100"
05/08/2015,"17.55","17.55","16.95","17.05","29,259,400"
05/07/2015,"17.55","17.70","16.95","17.15","19,809,900"
05/06/2015,"17.50","17.90","17.50","17.55","11,930,200"
05/05/2015,"17.45","17.65","17.40","17.50","4,538,200"
05/04/2015,"17.40","17.50","17.35","17.45","6,839,700"
04/30/2015,"17.30","17.50","17.30","17.40","4,947,400"
04/29/2015,"17.40","17.50","17.20","17.30","25,196,600"
04/28/2015,"17.05","17.40","17.00","17.20","1,663,000"
04/27/2015,"17.30","17.30","17.05","17.10","2,988,200"
04/24/2015,"17.25","17.40","17.15","17.30","14,060,100"
04/23/2015,"17.05","17.40","17.05","17.20","8,081,200"
04/22/2015,"17.20","17.20","17.00","17.05","4,110,800"
04/21/2015,"17.30","17.40","17.05","17.20","5,584,800"
04/20/2015,"17.30","17.40","17.00","17.25","5,345,100"
04/17/2015,"17.00","17.50","16.65","17.20","13,011,700"
04/16/2015,"16.40","17.00","16.35","16.75","2,938,700"
04/15/2015,"16.10","16.50","16.05","16.30","2,169,800"
04/14/2015,"16.05","16.35","16.00","16.10","5,472,900"
04/13/2015,"16.10","16.35","15.90","16.00","1,185,800"
04/10/2015,"16.35","16.35","15.75","15.90","30,226,100"
04/09/2015,"16.40","16.50","16.15","16.35","16,651,199"
04/08/2015,"15.90","16.20","15.85","15.95","20,213,301"
04/07/2015,"16.60","16.60","15.75","15.90","25,345,600"
04/02/2015,"17.00","17.05","15.85","16.60","10,225,100"
04/01/2015,"17.00","17.40","16.80","17.00","23,447,000"
03/31/2015,"17.05","17.40","16.80","17.05","6,060,000"
03/30/2015,"16.70","16.95","16.50","16.70","5,054,200"
03/27/2015,"16.55","17.50","16.50","16.60","2,836,000"
03/26/2015,"16.10","17.00","16.10","16.45","20,194,199"
03/25/2015,"16.00","16.25","16.00","16.10","3,172,500"
03/24/2015,"15.95","16.10","15.95","16.00","6,653,100"
03/23/2015,"15.85","16.00","15.85","15.90","4,795,200"
03/20/2015,"15.85","15.95","15.80","15.85","5,863,900"
03/19/2015,"15.75","15.95","15.75","15.90","4,483,000"
03/18/2015,"15.65","15.90","15.65","15.75","6,763,200"
03/17/2015,"15.70","15.75","15.00","15.60","6,764,400"
03/16/2015,"15.75","15.80","15.60","15.65","11,983,900"
03/13/2015,"15.90","16.00","15.50","15.80","6,917,800"
03/12/2015,"15.95","16.00","15.80","15.95","9,547,400"
03/11/2015,"15.75","16.00","15.75","15.85","3,247,600"
03/10/2015,"15.55","15.85","15.55","15.75","8,944,700"
03/09/2015,"15.70","15.80","15.40","15.55","6,603,400"
03/06/2015,"15.70","15.95","15.60","15.80","5,832,300"
03/05/2015,"15.65","15.80","15.55","15.70","3,837,700"
03/04/2015,"15.40","16.00","15.35","15.45","22,042,699"
03/03/2015,"15.45","15.65","15.30","15.40","30,442,500"
03/02/2015,"15.85","16.00","15.25","15.65","5,207,700"
02/27/2015,"15.75","15.90","15.75","15.80","9,108,900"
02/26/2015,"16.00","16.00","15.60","15.75","5,679,200"
02/25/2015,"15.80","16.00","15.70","15.90","33,856,500"
02/24/2015,"15.55","15.95","15.55","15.70","6,853,100"
02/23/2015,"15.35","15.70","15.35","15.45","4,374,500"
02/20/2015,"15.15","15.50","15.15","15.35","5,611,700"
02/19/2015,"15.00","15.30","15.00","15.15","3,817,200"
02/18/2015,"14.85","15.10","14.85","14.95","6,539,400"
02/17/2015,"14.85","14.90","14.80","14.85","3,230,000"
02/16/2015,"14.80","14.95","14.80","14.85","1,322,200"
02/13/2015,"14.85","14.95","14.85","14.85","25,002,900"
02/12/2015,"14.85","14.90","14.50","14.75","10,562,500"
02/11/2015,"14.80","14.95","14.60","14.85","12,590,400"
02/10/2015,"14.80","14.95","14.50","14.80","11,687,700"
02/09/2015,"14.50","15.00","14.50","14.80","13,757,300"
02/06/2015,"14.60","14.70","14.45","14.55","5,472,400"
02/05/2015,"14.60","14.75","14.45","14.55","8,383,600"
02/04/2015,"14.30","14.75","14.30","14.45","2,274,900"
02/03/2015,"14.25","14.50","14.20","14.30","1,891,000"
02/02/2015,"14.10","14.30","14.10","14.25","14,705,700"
01/30/2015,"14.10","14.25","14.10","14.15","9,095,300"
01/29/2015,"14.15","14.20","14.10","14.10","7,361,000"
01/28/2015,"14.15","14.30","14.10","14.15","8,606,700"
01/27/2015,"14.00","14.20","14.00","14.10","5,267,800"
01/26/2015,"14.20","14.20","14.00","14.00","7,050,400"
01/23/2015,"14.30","14.30","14.10","14.15","14,165,800"
01/22/2015,"14.20","14.50","14.10","14.20","3,670,400"
01/21/2015,"14.85","14.85","14.10","14.20","7,503,300"
01/20/2015,"14.50","14.50","13.90","13.95","14,468,900"
01/19/2015,"14.85","14.85","14.35","14.55","1,590,100"
01/16/2015,"14.60","14.90","14.50","14.85","5,718,500"
01/15/2015,"14.80","14.85","14.50","14.60","9,217,600"
01/14/2015,"14.20","15.00","14.20","14.85","10,804,900"
01/13/2015,"14.05","15.00","14.00","14.70","1,348,900"
01/12/2015,"13.75","14.05","13.75","13.85","2,374,800"
01/09/2015,"13.70","13.85","13.00","13.75","2,157,000"
01/08/2015,"13.85","13.90","13.60","13.75","3,746,400"
01/07/2015,"14.00","14.00","13.80","13.90","5,022,200"
01/06/2015,"14.00","14.10","13.80","13.90","11,810,700"
01/05/2015,"14.15","14.30","14.00","14.05","2,558,100"
01/02/2015,"14.10","14.50","14.05","14.15","8,652,000"
12/31/2014,"14.15","14.15","14.00","14.05","7,612,400"
12/30/2014,"14.10","14.25","14.00","14.10","15,521,200"
12/29/2014,"14.00","14.20","14.00","14.05","19,248,301"
12/24/2014,"13.80","14.10","13.80","14.00","4,558,300"
12/23/2014,"13.45","14.05","13.45","13.90","6,463,300"
12/22/2014,"13.40","13.60","13.35","13.45","10,428,700"
12/19/2014,"13.40","13.70","13.30","13.50","24,436,699"
12/18/2014,"13.85","13.85","13.25","13.35","6,316,200"
12/17/2014,"13.90","13.95","13.30","13.40","32,755,500"
12/16/2014,"13.95","14.05","13.80","13.90","45,892,000"
12/15/2014,"14.05","14.50","13.75","13.95","13,566,800"
12/11/2014,"14.50","14.65","14.00","14.05","18,895,301"
12/10/2014,"15.00","15.00","14.30","14.65","9,358,200"
12/09/2014,"15.10","15.15","14.90","15.00","22,233,301"
12/08/2014,"14.75","15.15","14.70","15.00","36,775,699"
12/05/2014,"14.60","14.95","14.60","14.80","5,340,400"
12/04/2014,"14.35","14.70","14.10","14.55","4,824,700"
12/03/2014,"13.95","14.65","13.95","14.20","20,752,500"
12/02/2014,"13.80","14.00","13.80","13.95","8,614,400"
12/01/2014,"13.85","14.00","13.80","13.90","6,083,900"
11/28/2014,"13.95","13.95","13.70","13.80","12,068,000"
11/27/2014,"13.75","14.00","13.60","13.90","7,151,200"
11/26/2014,"13.60","13.95","13.30","13.80","12,091,900"
11/25/2014,"13.45","13.65","13.20","13.55","17,656,801"
11/24/2014,"13.50","13.65","13.00","13.45","1,394,900"
11/21/2014,"13.60","13.65","13.50","13.60","12,535,200"
11/20/2014,"13.55","13.70","13.55","13.65","110,578,203"
11/19/2014,"13.80","13.85","13.55","13.70","14,859,200"
11/18/2014,"13.75","13.85","13.60","13.75","4,207,300"
11/17/2014,"13.60","13.85","13.50","13.75","1,223,400"
11/14/2014,"13.50","13.85","13.30","13.70","6,004,600"
11/13/2014,"13.50","13.75","13.00","13.55","6,785,300"
11/12/2014,"13.00","13.55","12.80","13.35","24,898,900"
11/11/2014,"12.80","13.05","12.75","13.00","3,307,800"
11/10/2014,"12.90","13.05","12.45","12.95","9,210,800"
11/07/2014,"12.70","13.10","12.70","12.95","17,538,199"
11/06/2014,"12.20","13.00","12.20","12.80","25,778,000"
11/05/2014,"12.25","13.00","12.20","12.70","14,616,500"
11/04/2014,"12.20","12.25","12.15","12.20","4,154,700"
11/03/2014,"12.15","12.30","12.15","12.20","7,189,300"
10/31/2014,"12.10","12.30","12.10","12.15","6,238,900"
10/30/2014,"12.20","12.25","12.10","12.15","6,568,600"
10/29/2014,"12.10","12.30","12.10","12.15","8,941,800"
10/28/2014,"12.05","12.20","12.05","12.10","11,884,400"
10/27/2014,"12.30","12.50","12.15","12.20","4,554,200"
10/24/2014,"12.45","12.50","12.05","12.25","2,787,500"
10/23/2014,"12.50","12.60","12.50","12.55","10,692,200"
10/22/2014,"12.40","12.55","12.30","12.45","5,354,400"
10/21/2014,"12.00","12.50","11.85","12.15","13,734,200"
10/17/2014,"12.50","12.50","12.00","12.15","3,332,500"
10/16/2014,"12.55","12.60","12.50","12.50","5,602,600"
10/15/2014,"12.80","12.80","12.50","12.55","1,780,400"
10/14/2014,"12.75","12.75","12.65","12.65","6,835,100"
10/13/2014,"12.75","12.80","12.70","12.75","12,040,700"
10/10/2014,"12.80","12.85","12.75","12.80","6,563,100"
10/09/2014,"12.90","12.95","12.75","12.85","6,911,900"
10/08/2014,"12.80","13.00","12.70","12.85","2,547,100"
10/07/2014,"12.70","12.90","12.60","12.75","3,247,300"
10/06/2014,"12.90","12.90","12.60","12.65","834,100"
10/03/2014,"12.75","12.85","12.00","12.70","4,373,600"
10/02/2014,"12.95","12.95","12.75","12.75","5,934,300"
10/01/2014,"12.95","13.00","12.80","12.95","4,429,800"
09/30/2014,"12.80","13.00","12.75","12.90","11,736,000"
09/29/2014,"12.70","13.05","12.65","12.85","7,491,200"
09/26/2014,"12.65","12.75","12.60","12.70","12,569,300"
09/25/2014,"12.55","12.65","12.55","12.60","5,587,300"
09/24/2014,"12.60","12.65","12.50","12.55","9,583,800"
09/23/2014,"12.60","12.65","12.50","12.55","9,405,900"
09/22/2014,"12.55","12.65","12.50","12.60","28,534,100"
09/19/2014,"12.60","12.70","12.50","12.60","30,923,400"
09/18/2014,"12.50","12.70","12.50","12.60","6,207,700"
09/17/2014,"12.80","12.80","12.15","12.50","30,421,600"
09/16/2014,"12.95","12.95","12.80","12.85","15,424,700"
09/15/2014,"12.90","13.00","12.85","12.90","16,072,100"
09/12/2014,"12.50","13.00","12.50","12.90","12,283,000"
09/11/2014,"13.05","13.15","12.85","12.95","10,950,400"
09/10/2014,"13.25","13.25","13.00","13.15","13,203,700"
09/09/2014,"13.30","13.30","13.20","13.25","10,155,500"
09/08/2014,"13.25","13.35","13.20","13.25","3,959,600"
09/05/2014,"13.15","13.35","13.10","13.20","1,138,700"
09/04/2014,"13.40","13.40","13.10","13.20","6,146,000"
09/03/2014,"13.20","13.50","13.20","13.40","12,300,800"
09/02/2014,"13.00","13.40","13.00","13.20","8,675,100"
09/01/2014,"13.00","13.30","12.95","13.15","2,737,900"
08/29/2014,"12.75","13.05","12.75","12.95","13,574,100"
08/28/2014,"12.75","12.85","12.70","12.75","1,977,000"
08/27/2014,"12.75","12.85","12.70","12.75","30,994,100"
08/26/2014,"12.75","12.80","12.75","12.75","1,721,300"
08/25/2014,"12.75","12.80","12.70","12.75","2,583,600"
08/22/2014,"12.75","12.80","12.70","12.75","30,159,100"
08/21/2014,"12.75","12.85","12.75","12.75","20,898,301"
08/20/2014,"12.75","12.90","12.75","12.80","7,314,300"
08/19/2014,"12.70","12.80","12.65","12.75","9,185,600"
08/18/2014,"12.70","12.85","12.70","12.75","26,877,600"
08/15/2014,"12.80","12.80","12.65","12.70","1,016,100"
08/14/2014,"12.75","12.90","12.65","12.80","7,306,400"
08/13/2014,"12.80","12.85","12.65","12.75","2,964,900"
08/12/2014,"12.60","12.95","12.60","12.80","4,408,800"
08/11/2014,"12.60","12.85","12.60","12.75","3,686,000"
08/08/2014,"12.70","12.90","12.55","12.80","5,823,200"
08/07/2014,"12.90","12.95","12.50","12.90","16,411,500"
08/06/2014,"12.60","13.00","12.60","12.95","11,486,500"
08/05/2014,"12.50","13.00","12.50","12.60","22,651,801"
08/04/2014,"12.60","12.70","12.45","12.50","4,694,800"
08/01/2014,"12.25","12.60","12.25","12.45","6,180,000"
07/31/2014,"12.05","12.40","12.05","12.20","5,114,900"
07/30/2014,"12.00","12.10","11.95","12.05","10,487,800"
